Item Names,ID,Type,Exclusive To,Cost,Effect
Outfit 3,00_1_0002_0000_21,Costume,Goku (Z - End) Super Saiyan,,
Outfit 3,00_1_0002_0000_22,Costume,Goku (Z - End) Super Saiyan 2,,
Outfit 3,00_1_0002_0000_23,Costume,Goku (Z - End) Super Saiyan 3,,
Outfit 3,00_1_0002_0000_40,Costume,Goku (Super),,
Outfit 3,00_1_0002_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 3,00_1_0002_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 3,00_1_0002_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 3,00_1_0002_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 3,00_1_0002_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 3,00_1_0002_0020_00,Costume,Vegeta (Z - Scouter),,
Outfit 3,00_1_0002_0020_10,Costume,Vegeta (Z - Early),,
Outfit 3,00_1_0002_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 3,00_1_0002_0020_30,Costume,Vegeta (Z - End),,
Outfit 3,00_1_0002_0020_31,Costume,Vegeta (Z - End) Super Saiyan,,
Outfit 3,00_1_0002_0020_32,Costume,Vegeta (Z - End) Super Saiyan 2,,
Outfit 3,00_1_0002_0020_60,Costume,Vegeta (Super),,
Outfit 3,00_1_0002_0020_61,Costume,Vegeta (Super) Super Saiyan,,
Outfit 3,00_1_0002_0020_63,Costume,Vegeta (Super) Super Saiyan God Super Saiyan,,
Outfit 3,00_1_0002_0021_20,Costume,Super Vegeta,,
Outfit 3,00_1_0002_0022_62,Costume,Vegeta (Super) Super Saiyan God,,
Outfit 3,00_1_0002_0023_00,Costume,Great Ape Vegeta,,
Outfit 3,00_1_0002_0030_00,Costume,Gohan (Kid),,
Outfit 3,00_1_0002_0031_00,Costume,Gohan (Teen),,
Outfit 3,00_1_0002_0031_01,Costume,Gohan (Teen) Super Saiyan,,
Outfit 3,00_1_0002_0031_02,Costume,Gohan (Teen) Super Saiyan 2,,
Outfit 3,00_1_0002_0032_00,Costume,Gohan (Adult),,
Outfit 3,00_1_0002_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 3,00_1_0002_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 2,00_1_0002_0032_20,Costume,Ultimate Gohan,,
Outfit 3,00_1_0002_0040_00,Costume,Piccolo,,
Outfit 3,00_1_0002_0040_10,Costume,Piccolo (Fused with Kami),,
Outfit 3,00_1_0002_0050_00,Costume,Krillin,,
Outfit 3,00_1_0002_0060_00,Costume,Yamcha,,
Outfit 3,00_1_0002_0070_00,Costume,Tien,,
Outfit 2,00_1_0002_0080_00,Costume,Trunks (Sword),,
Outfit 2,00_1_0002_0080_01,Costume,Trunks (Sword) Super Saiyan,,
Outfit 3,00_1_0002_0080_10,Costume,Trunks (Melee),,
Outfit 3,00_1_0002_0080_11,Costume,Trunks (Melee) Super Saiyan,,
Outfit 2,00_1_0002_0130_00,Costume,Videl,,
Outfit 3,00_1_0002_0460_00,Costume,Android 18,,
Outfit 4,00_1_0003_0000_10,Costume,Goku (Z - Mid),,
Outfit 4,00_1_0003_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 4,00_1_0003_0000_40,Costume,Goku (Super),,
Outfit 4,00_1_0003_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 4,00_1_0003_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 4,00_1_0003_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 4,00_1_0003_0020_00,Costume,Vegeta (Z - Scouter),,
Outfit 4,00_1_0003_0020_10,Costume,Vegeta (Z - Early),,
Outfit 4,00_1_0003_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 4,00_1_0003_0020_60,Costume,Vegeta (Super),,
Outfit 4,00_1_0003_0020_61,Costume,Vegeta (Super) Super Saiyan,,
Outfit 4,00_1_0003_0020_63,Costume,Vegeta (Super) Super Saiyan God Super Saiyan,,
Outfit 4,00_1_0003_0021_20,Costume,Super Vegeta,,
Outfit 4,00_1_0003_0022_62,Costume,Vegeta (Super) Super Saiyan God,,
Outfit 4,00_1_0003_0023_00,Costume,Great Ape Vegeta,,
Outfit 4,00_1_0003_0031_00,Costume,Gohan (Teen),,
Outfit 4,00_1_0003_0031_01,Costume,Gohan (Teen) Super Saiyan,,
Outfit 4,00_1_0003_0031_02,Costume,Gohan (Teen) Super Saiyan 2,,
Outfit 4,00_1_0003_0032_00,Costume,Gohan (Adult),,
Outfit 4,00_1_0003_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 4,00_1_0003_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 3,00_1_0003_0140_00,Costume,Master Roshi,,
Outfit 3,00_1_0003_0141_00,Costume,Master Roshi Full Power,,
Outfit 4,00_1_0003_0460_00,Costume,Android 18,,
Outfit 4,00_1_0004_0000_00,Costume,Goku (Z - Early),,
Outfit 5,00_1_0004_0000_40,Costume,Goku (Super),,
Outfit 5,00_1_0004_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 5,00_1_0004_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 4,00_1_0004_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 4,00_1_0004_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 5,00_1_0004_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 5,00_1_0004_0020_10,Costume,Vegeta (Z - Early),,
Outfit 5,00_1_0004_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 5,00_1_0004_0032_00,Costume,Gohan (Adult),,
Outfit 5,00_1_0004_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 5,00_1_0004_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 4,00_1_0004_0050_00,Costume,Krillin,,
Outfit 4,00_1_0004_0070_00,Costume,Tien,,
Outfit 4,00_1_0004_0140_00,Costume,Master Roshi,,
Outfit 4,00_1_0004_0141_00,Costume,Master Roshi Full Power,,
Outfit 5,00_1_0004_0460_00,Costume,Android 18,,
Outfit 5,00_1_0005_0000_00,Costume,Goku (Z - Early),,
Outfit 5,00_1_0005_0000_10,Costume,Goku (Z - Mid),,
Outfit 5,00_1_0005_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 6,00_1_0005_0000_40,Costume,Goku (Super),,
Outfit 6,00_1_0005_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 6,00_1_0005_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 5,00_1_0005_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 5,00_1_0005_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 6,00_1_0005_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 6,00_1_0005_0020_10,Costume,Vegeta (Z - Early),,
Outfit 6,00_1_0005_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 7,00_1_0006_0000_40,Costume,Goku (Super),,
Outfit 7,00_1_0006_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 7,00_1_0006_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 6,00_1_0006_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 6,00_1_0006_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 7,00_1_0006_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 8,00_1_0007_0000_40,Costume,Goku (Super),,
Outfit 8,00_1_0007_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 8,00_1_0007_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 8,00_1_0007_0001_42,Costume,Goku (Super) Super Saiyan God,,
